years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2104,0.9%,2.4%,0.8%,#DIV/0!,2.4%,1.2%,0.8%,1.2%,0.8%,0.8%,0.8%,2.4%,0.8%,2.4%,2.4%,0.9%,0.8%,2.4%,1.2%,0.8%,0.8%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.4%,2.4%,0.8%,0.8%,1.2%,0.9%,2.4%,2.4%,2.4%,2.4%,1.2%,2.4%,2.4%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.4%,1.2%,0.8%,1.2%,2.4%,1.2%,2.4%,2.4%,#DIV/0!,0.8%,0.8%,2.4%,0.8%,0.9%,0.8%,0.9%,2.4%,0.8%,0.8%,2.4%,2.4%,#DIV/0!,2.4%,2.4%,2.4%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.4%,2.4%,0.8%,0.8%,0.8%,1.2%,2.4%,0.9%,0.8%,2.4%,0.8%,0.9%,1.2%,0.9%,2.4%,0.9%,2.4%,2.4%,2.4%,#DIV/0!,0.9%,2.4%,0.8%,0.8%,0.8%,2.4%,0.8%,2.4%,1.2%,0.8%,2.4%,0.9%,0.8%,0.9%,2.4%,2.4%,#DIV/0!,2.4%,2.4%,0.9%,2.4%,#DIV/0!,2.4%,2.4%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.4%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.4%,2.4%,#DIV/0!,0.8%,0.8%,2.4%,2.4%,2.4%,2.4%,0.9%,2.4%,1.2%,0.8%,#DIV/0!,0.8%,2.4%,2.4%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.4%,2.4%,0.9%,0.8%,0.8%,0.9%,0.9%,1.2%,2.4%,0.8%,0.9%,#DIV/0!,2.4%,2.4%,0.8%,1.2%,0.8%,0.8%,1.2%,0.9%,0.9%,0.9%,2.4%,2.4%,2.4%,2.4%
2105,0.9%,2.4%,0.8%,#DIV/0!,2.4%,1.2%,0.8%,1.2%,0.8%,0.8%,0.8%,2.4%,0.8%,2.4%,2.4%,0.9%,0.8%,2.4%,1.2%,0.8%,0.8%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.4%,2.4%,0.8%,0.8%,1.2%,0.9%,2.4%,2.4%,2.4%,2.4%,1.2%,2.4%,2.4%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.4%,1.2%,0.8%,1.2%,2.4%,1.2%,2.4%,2.4%,#DIV/0!,0.8%,0.8%,2.4%,0.8%,0.9%,0.8%,0.9%,2.4%,0.8%,0.8%,2.4%,2.4%,#DIV/0!,2.4%,2.4%,2.4%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.4%,2.4%,0.8%,0.8%,0.8%,1.2%,2.4%,0.9%,0.8%,2.4%,0.8%,0.9%,1.2%,0.9%,2.4%,0.9%,2.4%,2.4%,2.4%,#DIV/0!,0.9%,2.4%,0.8%,0.8%,0.8%,2.4%,0.8%,2.4%,1.2%,0.8%,2.4%,0.9%,0.8%,0.9%,2.4%,2.4%,#DIV/0!,2.4%,2.4%,0.9%,2.4%,#DIV/0!,2.4%,2.4%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.4%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.4%,2.4%,#DIV/0!,0.8%,0.8%,2.4%,2.4%,2.4%,2.4%,0.9%,2.4%,1.2%,0.8%,#DIV/0!,0.8%,2.4%,2.4%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.4%,2.4%,0.9%,0.8%,0.8%,0.9%,0.9%,1.2%,2.4%,0.8%,0.9%,#DIV/0!,2.4%,2.4%,0.8%,1.2%,0.8%,0.8%,1.2%,0.9%,0.9%,0.9%,2.4%,2.4%,2.4%,2.4%
2106,0.9%,2.4%,0.8%,#DIV/0!,2.4%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.4%,0.8%,2.4%,2.4%,0.9%,0.8%,2.4%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.4%,2.4%,0.8%,0.8%,1.2%,0.9%,2.4%,2.4%,2.4%,2.4%,1.2%,2.4%,2.4%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.4%,1.2%,0.8%,1.2%,2.4%,1.2%,2.4%,2.4%,#DIV/0!,0.8%,0.8%,2.4%,0.8%,0.9%,0.8%,0.9%,2.4%,0.8%,0.7%,2.4%,2.4%,#DIV/0!,2.4%,2.4%,2.4%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.4%,2.4%,0.8%,0.8%,0.8%,1.2%,2.4%,0.9%,0.7%,2.4%,0.7%,0.9%,1.2%,0.9%,2.4%,0.9%,2.4%,2.4%,2.4%,#DIV/0!,0.9%,2.4%,0.8%,0.8%,0.8%,2.4%,0.7%,2.4%,1.2%,0.8%,2.4%,0.9%,0.8%,0.9%,2.4%,2.4%,#DIV/0!,2.4%,2.4%,0.9%,2.4%,#DIV/0!,2.4%,2.4%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.4%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.4%,2.4%,#DIV/0!,0.8%,0.7%,2.4%,2.4%,2.4%,2.4%,0.9%,2.4%,1.2%,0.8%,#DIV/0!,0.8%,2.4%,2.4%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.4%,2.4%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.4%,0.8%,0.9%,#DIV/0!,2.4%,2.4%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.4%,2.4%,2.4%,2.4%
2107,0.9%,2.3%,0.8%,#DIV/0!,2.3%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.3%,0.8%,2.3%,2.3%,0.9%,0.8%,2.3%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.3%,2.3%,0.8%,0.8%,1.2%,0.9%,2.3%,2.3%,2.3%,2.3%,1.2%,2.3%,2.3%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.3%,1.2%,0.8%,1.2%,2.3%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.8%,2.3%,0.8%,0.9%,0.8%,0.9%,2.3%,0.8%,0.7%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,2.3%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.3%,2.3%,0.8%,0.8%,0.8%,1.2%,2.3%,0.9%,0.7%,2.3%,0.7%,0.9%,1.2%,0.9%,2.3%,0.9%,2.3%,2.3%,2.3%,#DIV/0!,0.9%,2.3%,0.8%,0.8%,0.8%,2.3%,0.7%,2.3%,1.2%,0.8%,2.3%,0.9%,0.8%,0.9%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,0.9%,2.3%,#DIV/0!,2.3%,2.3%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.3%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.7%,2.3%,2.3%,2.3%,2.3%,0.9%,2.3%,1.2%,0.8%,#DIV/0!,0.8%,2.3%,2.3%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.3%,2.3%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.3%,0.8%,0.9%,#DIV/0!,2.3%,2.3%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.3%,2.3%,2.3%,2.3%
2108,0.9%,2.3%,0.8%,#DIV/0!,2.3%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.3%,0.8%,2.3%,2.3%,0.9%,0.8%,2.3%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.3%,2.3%,0.8%,0.8%,1.2%,0.9%,2.3%,2.3%,2.3%,2.3%,1.2%,2.3%,2.3%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.3%,1.2%,0.8%,1.2%,2.3%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.8%,2.3%,0.8%,0.9%,0.8%,0.9%,2.3%,0.8%,0.7%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,2.3%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.3%,2.3%,0.8%,0.8%,0.8%,1.2%,2.3%,0.9%,0.7%,2.3%,0.7%,0.9%,1.2%,0.9%,2.3%,0.9%,2.3%,2.3%,2.3%,#DIV/0!,0.9%,2.3%,0.8%,0.8%,0.8%,2.3%,0.7%,2.3%,1.2%,0.8%,2.3%,0.9%,0.8%,0.9%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,0.9%,2.3%,#DIV/0!,2.3%,2.3%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.3%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.7%,2.3%,2.3%,2.3%,2.3%,0.9%,2.3%,1.2%,0.8%,#DIV/0!,0.8%,2.3%,2.3%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.3%,2.3%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.3%,0.8%,0.9%,#DIV/0!,2.3%,2.3%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.3%,2.3%,2.3%,2.3%
2109,0.9%,2.3%,0.8%,#DIV/0!,2.3%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.3%,0.8%,2.3%,2.3%,0.9%,0.8%,2.3%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.3%,2.3%,0.8%,0.8%,1.2%,0.9%,2.3%,2.3%,2.3%,2.3%,1.2%,2.3%,2.3%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.3%,1.2%,0.8%,1.2%,2.3%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.8%,2.3%,0.8%,0.9%,0.8%,0.9%,2.3%,0.8%,0.7%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,2.3%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.3%,2.3%,0.8%,0.8%,0.8%,1.2%,2.3%,0.9%,0.7%,2.3%,0.7%,0.9%,1.2%,0.9%,2.3%,0.9%,2.3%,2.3%,2.3%,#DIV/0!,0.9%,2.3%,0.8%,0.8%,0.8%,2.3%,0.7%,2.3%,1.2%,0.8%,2.3%,0.9%,0.8%,0.9%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,0.9%,2.3%,#DIV/0!,2.3%,2.3%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.3%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.7%,2.3%,2.3%,2.3%,2.3%,0.9%,2.3%,1.2%,0.8%,#DIV/0!,0.8%,2.3%,2.3%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.3%,2.3%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.3%,0.8%,0.9%,#DIV/0!,2.3%,2.3%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.3%,2.3%,2.3%,2.3%
2110,0.9%,2.3%,0.8%,#DIV/0!,2.3%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.3%,0.8%,2.3%,2.3%,0.9%,0.8%,2.3%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.3%,2.3%,0.8%,0.8%,1.2%,0.9%,2.3%,2.3%,2.3%,2.3%,1.2%,2.3%,2.3%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.3%,1.2%,0.8%,1.2%,2.3%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.8%,2.3%,0.8%,0.9%,0.8%,0.9%,2.3%,0.8%,0.7%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,2.3%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.3%,2.3%,0.8%,0.8%,0.8%,1.2%,2.3%,0.9%,0.7%,2.3%,0.7%,0.9%,1.2%,0.9%,2.3%,0.9%,2.3%,2.3%,2.3%,#DIV/0!,0.9%,2.3%,0.8%,0.8%,0.8%,2.3%,0.7%,2.3%,1.2%,0.8%,2.3%,0.9%,0.8%,0.9%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,0.9%,2.3%,#DIV/0!,2.3%,2.3%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.3%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.7%,2.3%,2.3%,2.3%,2.3%,0.9%,2.3%,1.2%,0.8%,#DIV/0!,0.8%,2.3%,2.3%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.3%,2.3%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.3%,0.8%,0.9%,#DIV/0!,2.3%,2.3%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.3%,2.3%,2.3%,2.3%
2111,0.9%,2.3%,0.8%,#DIV/0!,2.3%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.3%,0.8%,2.3%,2.3%,0.9%,0.8%,2.3%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.3%,2.3%,0.8%,0.8%,1.2%,0.9%,2.3%,2.3%,2.3%,2.3%,1.2%,2.3%,2.3%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.3%,1.2%,0.8%,1.2%,2.3%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.8%,2.3%,0.8%,0.9%,0.8%,0.9%,2.3%,0.8%,0.7%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,2.3%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.3%,2.3%,0.8%,0.8%,0.8%,1.2%,2.3%,0.9%,0.7%,2.3%,0.7%,0.9%,1.2%,0.9%,2.3%,0.9%,2.3%,2.3%,2.3%,#DIV/0!,0.9%,2.3%,0.8%,0.8%,0.8%,2.3%,0.7%,2.3%,1.2%,0.8%,2.3%,0.9%,0.8%,0.9%,2.3%,2.3%,#DIV/0!,2.3%,2.3%,0.9%,2.3%,#DIV/0!,2.3%,2.3%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.3%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.3%,2.3%,#DIV/0!,0.8%,0.7%,2.3%,2.3%,2.3%,2.3%,0.9%,2.3%,1.2%,0.8%,#DIV/0!,0.8%,2.3%,2.3%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.3%,2.3%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.3%,0.8%,0.9%,#DIV/0!,2.3%,2.3%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.3%,2.3%,2.3%,2.3%
2112,0.9%,2.2%,0.8%,#DIV/0!,2.2%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.2%,0.8%,2.2%,2.2%,0.9%,0.8%,2.2%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.2%,2.2%,0.8%,0.8%,1.2%,0.9%,2.2%,2.2%,2.2%,2.2%,1.2%,2.2%,2.2%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.2%,1.2%,0.8%,1.2%,2.2%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.8%,2.2%,0.8%,0.9%,0.8%,0.9%,2.2%,0.8%,0.7%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,2.2%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.2%,2.2%,0.8%,0.8%,0.8%,1.2%,2.2%,0.9%,0.7%,2.2%,0.7%,0.9%,1.2%,0.9%,2.2%,0.9%,2.2%,2.2%,2.2%,#DIV/0!,0.9%,2.2%,0.8%,0.8%,0.8%,2.2%,0.7%,2.2%,1.2%,0.8%,2.2%,0.9%,0.8%,0.9%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,0.9%,2.2%,#DIV/0!,2.2%,2.2%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.2%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.7%,2.2%,2.2%,2.2%,2.2%,0.9%,2.2%,1.2%,0.8%,#DIV/0!,0.8%,2.2%,2.2%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.2%,2.2%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.2%,0.8%,0.9%,#DIV/0!,2.2%,2.2%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%
2113,0.9%,2.2%,0.8%,#DIV/0!,2.2%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.2%,0.8%,2.2%,2.2%,0.9%,0.8%,2.2%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.2%,2.2%,0.8%,0.8%,1.2%,0.9%,2.2%,2.2%,2.2%,2.2%,1.2%,2.2%,2.2%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.2%,1.2%,0.8%,1.2%,2.2%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.8%,2.2%,0.8%,0.9%,0.8%,0.9%,2.2%,0.8%,0.7%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,2.2%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.2%,2.2%,0.8%,0.8%,0.8%,1.2%,2.2%,0.9%,0.7%,2.2%,0.7%,0.9%,1.2%,0.9%,2.2%,0.9%,2.2%,2.2%,2.2%,#DIV/0!,0.9%,2.2%,0.8%,0.8%,0.8%,2.2%,0.7%,2.2%,1.2%,0.8%,2.2%,0.9%,0.8%,0.9%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,0.9%,2.2%,#DIV/0!,2.2%,2.2%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.2%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.7%,2.2%,2.2%,2.2%,2.2%,0.9%,2.2%,1.2%,0.8%,#DIV/0!,0.8%,2.2%,2.2%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.2%,2.2%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.2%,0.8%,0.9%,#DIV/0!,2.2%,2.2%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%
2114,0.9%,2.2%,0.8%,#DIV/0!,2.2%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.2%,0.8%,2.2%,2.2%,0.9%,0.8%,2.2%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.2%,2.2%,0.8%,0.8%,1.2%,0.9%,2.2%,2.2%,2.2%,2.2%,1.2%,2.2%,2.2%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.2%,1.2%,0.8%,1.2%,2.2%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.8%,2.2%,0.8%,0.9%,0.8%,0.9%,2.2%,0.8%,0.7%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,2.2%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.2%,2.2%,0.8%,0.8%,0.8%,1.2%,2.2%,0.9%,0.7%,2.2%,0.7%,0.9%,1.2%,0.9%,2.2%,0.9%,2.2%,2.2%,2.2%,#DIV/0!,0.9%,2.2%,0.8%,0.8%,0.8%,2.2%,0.7%,2.2%,1.2%,0.8%,2.2%,0.9%,0.8%,0.9%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,0.9%,2.2%,#DIV/0!,2.2%,2.2%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.2%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.7%,2.2%,2.2%,2.2%,2.2%,0.9%,2.2%,1.2%,0.8%,#DIV/0!,0.8%,2.2%,2.2%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.2%,2.2%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.2%,0.8%,0.9%,#DIV/0!,2.2%,2.2%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%
2115,0.9%,2.2%,0.8%,#DIV/0!,2.2%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.2%,0.8%,2.2%,2.2%,0.9%,0.8%,2.2%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.2%,2.2%,0.8%,0.8%,1.2%,0.9%,2.2%,2.2%,2.2%,2.2%,1.2%,2.2%,2.2%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.2%,1.2%,0.8%,1.2%,2.2%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.8%,2.2%,0.8%,0.9%,0.8%,0.9%,2.2%,0.8%,0.7%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,2.2%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.2%,2.2%,0.8%,0.8%,0.8%,1.2%,2.2%,0.9%,0.7%,2.2%,0.7%,0.9%,1.2%,0.9%,2.2%,0.9%,2.2%,2.2%,2.2%,#DIV/0!,0.9%,2.2%,0.8%,0.8%,0.8%,2.2%,0.7%,2.2%,1.2%,0.8%,2.2%,0.9%,0.8%,0.9%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,0.9%,2.2%,#DIV/0!,2.2%,2.2%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.2%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.7%,2.2%,2.2%,2.2%,2.2%,0.9%,2.2%,1.2%,0.8%,#DIV/0!,0.8%,2.2%,2.2%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.2%,2.2%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.2%,0.8%,0.9%,#DIV/0!,2.2%,2.2%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%
2116,0.9%,2.2%,0.8%,#DIV/0!,2.2%,1.2%,0.7%,1.2%,0.8%,0.8%,0.7%,2.2%,0.8%,2.2%,2.2%,0.9%,0.8%,2.2%,1.2%,0.8%,0.7%,1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,0.9%,2.2%,2.2%,0.8%,0.8%,1.2%,0.9%,2.2%,2.2%,2.2%,2.2%,1.2%,2.2%,2.2%,1.2%,#DIV/0!,0.8%,0.8%,0.8%,2.2%,1.2%,0.8%,1.2%,2.2%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.8%,2.2%,0.8%,0.9%,0.8%,0.9%,2.2%,0.8%,0.7%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,2.2%,0.8%,1.2%,1.2%,#DIV/0!,1.2%,0.9%,1.2%,0.8%,1.2%,0.8%,0.9%,0.9%,0.8%,2.2%,2.2%,0.8%,0.8%,0.8%,1.2%,2.2%,0.9%,0.7%,2.2%,0.7%,0.9%,1.2%,0.9%,2.2%,0.9%,2.2%,2.2%,2.2%,#DIV/0!,0.9%,2.2%,0.8%,0.8%,0.8%,2.2%,0.7%,2.2%,1.2%,0.8%,2.2%,0.9%,0.8%,0.9%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,0.9%,2.2%,#DIV/0!,2.2%,2.2%,1.2%,0.8%,0.8%,0.9%,0.9%,0.8%,2.2%,0.9%,1.2%,1.2%,0.9%,0.9%,0.9%,0.8%,1.2%,#DIV/0!,0.8%,1.2%,2.2%,2.2%,#DIV/0!,0.8%,0.7%,2.2%,2.2%,2.2%,2.2%,0.9%,2.2%,1.2%,0.8%,#DIV/0!,0.8%,2.2%,2.2%,1.2%,0.8%,0.8%,0.8%,#DIV/0!,2.2%,2.2%,0.9%,0.7%,0.7%,0.9%,0.9%,1.2%,2.2%,0.8%,0.9%,#DIV/0!,2.2%,2.2%,0.7%,1.2%,0.8%,0.7%,1.2%,0.9%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%
